title,beds,bath,sqft,price,address,city,state,lat,lon,date scraped,id,url
Condo for sale,Studio,1,460,"$329,000 ",860 Turquoise St UNIT 328,SAN DIEGO,CA,32809137,-117258185,1/19/2019,63477819,https://www.zillow.com/homedetails/860-Turquoise-St-UNIT-328-San-Diego-CA-92109/63477819_zpid/
Condo for sale,Studio,1,504,"$335,000 ",8680 Via Mallorca APT C,LA JOLLA,CA,32863357,-117233833,1/19/2019,16841369,https://www.zillow.com/homedetails/8680-Via-Mallorca-APT-C-La-Jolla-CA-92037/16841369_zpid/
Condo for sale,Studio,1,504,"$352,500 ",3128 Via Alicante UNIT X,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841556,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-X-La-Jolla-CA-92037/16841556_zpid/
Condo for sale,Studio,1,504,"$352,500 ",3128 Via Alicante UNIT V,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841544,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-V-La-Jolla-CA-92037/16841544_zpid/
Auction,1,1,691,$354K,3110 Via Alicante UNIT L,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841581,https://www.zillow.com/homedetails/3110-Via-Alicante-UNIT-L-La-Jolla-CA-92037/16841581_zpid/
Condo for sale,1,1,848,"$414,000 ",2600 Torrey Pines Rd APT A23,LA JOLLA,CA,32851779,-117246722,1/19/2019,16839444,https://www.zillow.com/homedetails/2600-Torrey-Pines-Rd-APT-A23-La-Jolla-CA-92037/16839444_zpid/
Townhouse for sale,1,1,820,"$415,000 ",8282 Gilman Dr UNIT 41,LA JOLLA,CA,32856074,-117237358,1/19/2019,98378748,https://www.zillow.com/homedetails/8282-Gilman-Dr-UNIT-41-La-Jolla-CA-92037/98378748_zpid/
Condo for sale,1,1,691,"$425,000 ",3116 Via Alicante UNIT I,LA JOLLA,CA,32861694,-117234533,1/19/2019,16841564,https://www.zillow.com/homedetails/3116-Via-Alicante-UNIT-I-La-Jolla-CA-92037/16841564_zpid/
Condo for sale,1,1,691,"$425,000 ",8524 Via Mallorca UNIT E,LA JOLLA,CA,32862735,-117233810,1/19/2019,16841427,https://www.zillow.com/homedetails/8524-Via-Mallorca-UNIT-E-La-Jolla-CA-92037/16841427_zpid/
Condo for sale,1,1,691,"$425,000 ",8509 Villa La Jolla Dr APT H,LA JOLLA,CA,32862855,-117235689,1/19/2019,16841671,https://www.zillow.com/homedetails/8509-Villa-La-Jolla-Dr-APT-H-La-Jolla-CA-92037/16841671_zpid/
Condo for sale,1,1,691,"$425,000 ",8604 Via Mallorca APT I,LA JOLLA,CA,32863357,-117233833,1/19/2019,16841374,https://www.zillow.com/homedetails/8604-Via-Mallorca-APT-I-La-Jolla-CA-92037/16841374_zpid/
Condo for sale,1,1,691,"$449,900 ",8528 Via Mallorca UNIT D,LA JOLLA,CA,32862527,-117234311,1/19/2019,16841422,https://www.zillow.com/homedetails/8528-Via-Mallorca-UNIT-D-La-Jolla-CA-92037/16841422_zpid/
Condo for sale,1,1,713,"$499,000 ",6333 La Jolla Blvd UNIT 178,LA JOLLA,CA,32824666,-117275667,1/19/2019,16850683,https://www.zillow.com/homedetails/6333-La-Jolla-Blvd-UNIT-178-La-Jolla-CA-92037/16850683_zpid/
Condo for sale,2,2,"1,204","$499,000 ",2610 Torrey Pines Rd APT C22,LA JOLLA,CA,32852002,-117247422,1/19/2019,16839467,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C22-La-Jolla-CA-92037/16839467_zpid/
Condo for sale,2,1,"1,080","$515,000 ",8850 Villa La Jolla Dr UNIT 201,LA JOLLA,CA,32869320,-117235414,1/19/2019,16835971,https://www.zillow.com/homedetails/8850-Villa-La-Jolla-Dr-UNIT-201-La-Jolla-CA-92037/16835971_zpid/
Townhouse for sale,2,2,971,"$525,000 ",3148 Via Alicante UNIT A,LA JOLLA,CA,32861448,-117234108,1/19/2019,16841515,https://www.zillow.com/homedetails/3148-Via-Alicante-UNIT-A-La-Jolla-CA-92037/16841515_zpid/
Condo for sale,2,1,597,"$535,000 ",7514 Girard Ave APT B,LA JOLLA,CA,32841014,-117273078,1/19/2019,69223343,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-B-La-Jolla-CA-92037/69223343_zpid/
Condo for sale,2,2,"1,017","$549,500 ",3131 Via Alicante UNIT 202,LA JOLLA,CA,32861350,-117234511,1/19/2019,63789858,https://www.zillow.com/homedetails/3131-Via-Alicante-UNIT-202-La-Jolla-CA-92037/63789858_zpid/
Condo for sale,2,2,"1,204","$559,000 ",2610 Torrey Pines Rd APT C21,LA JOLLA,CA,32852002,-117247422,1/19/2019,16839466,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C21-La-Jolla-CA-92037/16839466_zpid/
Condo for sale,2,2,989,"$560,000 ",6455 La Jolla Blvd UNIT 143,LA JOLLA,CA,32825967,-117276155,1/19/2019,16850847,https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-143-La-Jolla-CA-92037/16850847_zpid/
Condo for sale,1,1,728,"$598,000 ",7411 Herschel Ave UNIT 3E,LA JOLLA,CA,32839788,-117270742,1/19/2019,61786902,https://www.zillow.com/homedetails/7411-Herschel-Ave-UNIT-3E-La-Jolla-CA-92037/61786902_zpid/
Condo for sale,2,2,"1,017","$599,900 ",8460 Via Mallorca UNIT 237,LA JOLLA,CA,32860574,-117234780,1/19/2019,63789967,https://www.zillow.com/homedetails/8460-Via-Mallorca-UNIT-237-La-Jolla-CA-92037/63789967_zpid/
Condo for sale,2,2,"1,141","$610,000 ",8585 Via Mallorca UNIT 11,LA JOLLA,CA,32861972,-117232584,1/19/2019,16836126,https://www.zillow.com/homedetails/8585-Via-Mallorca-UNIT-11-La-Jolla-CA-92037/16836126_zpid/
Coming soon,2,2,990,"$615,000 ",6333 La Jolla Blvd UNIT 277,LA JOLLA,CA,32824666,-117275667,1/19/2019,16850707,https://www.zillow.com/homedetails/6333-La-Jolla-Blvd-UNIT-277-La-Jolla-CA-92037/16850707_zpid/
Condo for sale,2,2,984,"$625,000 ",3261 Caminito Ameca,LA JOLLA,CA,32854621,-117234974,1/19/2019,16840399,https://www.zillow.com/homedetails/3261-Caminito-Ameca-La-Jolla-CA-92037/16840399_zpid/
Townhouse for sale,2,2,"1,137","$650,000 ",3390 Via Alicante,LA JOLLA,CA,32861393,-117231910,1/19/2019,16835330,https://www.zillow.com/homedetails/3390-Via-Alicante-La-Jolla-CA-92037/16835330_zpid/
Townhouse for sale,2,2,"1,241","$652,500 ",3109 Evening Way UNIT D,LA JOLLA,CA,32869169,-117237519,1/19/2019,16835598,https://www.zillow.com/homedetails/3109-Evening-Way-UNIT-D-La-Jolla-CA-92037/16835598_zpid/
Condo for sale,1,1,991,"$665,000 ",7514 Girard Ave APT 24,LA JOLLA,CA,32841015,-117273079,1/19/2019,69223338,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-24-La-Jolla-CA-92037/69223338_zpid/
Townhouse for sale,2,3,"1,258","$715,000 ",7612 Eads Ave,LA JOLLA,CA,32842062,-117276004,1/19/2019,16848650,https://www.zillow.com/homedetails/7612-Eads-Ave-La-Jolla-CA-92037/16848650_zpid/
Condo for sale,2,2,"1,101","$725,000 ",7811 Eads Ave UNIT 407,LA JOLLA,CA,32845008,-117276189,1/19/2019,16847974,https://www.zillow.com/homedetails/7811-Eads-Ave-UNIT-407-La-Jolla-CA-92037/16847974_zpid/
Lot / Land for sale,,,--,"$749,000 ",5715 Soledad Mountain Rd # 209,La Jolla,CA,32824781,-117236218,1/19/2019,2087128936,https://www.zillow.com/homedetails/5715-Soledad-Mountain-Rd-209-La-Jolla-CA-92037/2087128936_zpid/
Lot / Land for sale,,,"10,890","$749,000 ",5715 Soledad Mountain Rd LOT 209,La Jolla,CA,32824781,-117236218,1/19/2019,2087132204,https://www.zillow.com/homedetails/5715-Soledad-Mountain-Rd-LOT-209-La-Jolla-CA-92037/2087132204_zpid/
Condo for sale,2,2,"1,353","$769,000 ",5370 La Jolla Blvd UNIT 203,LA JOLLA,CA,32810457,-117266566,1/19/2019,16907495,https://www.zillow.com/homedetails/5370-La-Jolla-Blvd-UNIT-203-La-Jolla-CA-92037/16907495_zpid/
Condo for sale,2,2,"1,351","$799,000 ",7550 Eads Ave UNIT 101,LA JOLLA,CA,32840626,-117275503,1/19/2019,16848681,https://www.zillow.com/homedetails/7550-Eads-Ave-UNIT-101-La-Jolla-CA-92037/16848681_zpid/
Condo for sale,3,3,"1,792","$825,000 ",8784 Caminito Abrazo,LA JOLLA,CA,32867275,-117239374,1/19/2019,16836077,https://www.zillow.com/homedetails/8784-Caminito-Abrazo-La-Jolla-CA-92037/16836077_zpid/
Condo for sale,2,2,"1,356","$825,000 ",7550 Eads Ave UNIT 403,LA JOLLA,CA,32840626,-117275503,1/19/2019,16848714,https://www.zillow.com/homedetails/7550-Eads-Ave-UNIT-403-La-Jolla-CA-92037/16848714_zpid/
Condo for sale,3,3,"2,083","$849,000 ",2842 Torrey Pines Rd,LA JOLLA,CA,32853361,-117246190,1/19/2019,16838982,https://www.zillow.com/homedetails/2842-Torrey-Pines-Rd-La-Jolla-CA-92037/16838982_zpid/
Apartment for sale,3,3,"1,692","$849,000 ",8940 Caminito Fresco,LA JOLLA,CA,32869810,-117239212,1/19/2019,16835180,https://www.zillow.com/homedetails/8940-Caminito-Fresco-La-Jolla-CA-92037/16835180_zpid/
Coming soon,3,3,"1,456","$849,000 ",5433.5 La Jolla Blvd,La Jolla,CA,32870044,-117249522,1/19/2019,2086460123,https://www.zillow.com/homedetails/5433-5-La-Jolla-Blvd-La-Jolla-CA-92037/2086460123_zpid/
Coming soon,2,3,"2,174","$850,000 ",3120 Almahurst Row,LA JOLLA,CA,32881315,-117244874,1/19/2019,17204047,https://www.zillow.com/homedetails/3120-Almahurst-Row-La-Jolla-CA-92037/17204047_zpid/
Condo for sale,3,3,"2,013","$875,000 ",5662 Caminito Isla,LA JOLLA,CA,32821401,-117238278,1/19/2019,16857399,https://www.zillow.com/homedetails/5662-Caminito-Isla-La-Jolla-CA-92037/16857399_zpid/
Condo for sale,3,3,"1,987","$890,000 ",7960 Caminito Del Cid,LA JOLLA,CA,32851187,-117251381,1/19/2019,16839383,https://www.zillow.com/homedetails/7960-Caminito-Del-Cid-La-Jolla-CA-92037/16839383_zpid/
Condo for sale,2,3,"1,248","$890,000 ",7625 Draper Ave UNIT B,LA JOLLA,CA,32842376,-117276615,1/19/2019,16848637,https://www.zillow.com/homedetails/7625-Draper-Ave-UNIT-B-La-Jolla-CA-92037/16848637_zpid/
Condo for sale,3,3,"2,062","$895,000 ",5568 Caminito Consuelo,LA JOLLA,CA,32820735,-117235668,1/19/2019,16857476,https://www.zillow.com/homedetails/5568-Caminito-Consuelo-La-Jolla-CA-92037/16857476_zpid/
Condo for sale,3,3,"2,056","$899,000 ",2244 Caminito Castillo,LA JOLLA,CA,32823618,-117237811,1/19/2019,16857346,https://www.zillow.com/homedetails/2244-Caminito-Castillo-La-Jolla-CA-92037/16857346_zpid/
Condo for sale,3,2,"1,858","$899,000 ",6515 Caminito Catalan,LA JOLLA,CA,32835343,-117245865,1/19/2019,16852344,https://www.zillow.com/homedetails/6515-Caminito-Catalan-La-Jolla-CA-92037/16852344_zpid/
Condo for sale,2,2.5,"1,252","$899,000 ",7715 Eads Ave,LA JOLLA,CA,32843586,-117275730,1/19/2019,16848330,https://www.zillow.com/homedetails/7715-Eads-Ave-La-Jolla-CA-92037/16848330_zpid/
Auction,3,2,"2,183",$908K,5782 Caminito Empresa,LA JOLLA,CA,32819668,-117249837,1/19/2019,48180695,https://www.zillow.com/homedetails/5782-Caminito-Empresa-La-Jolla-CA-92037/48180695_zpid/
Condo for sale,2,2,"1,088","$917,000 ",410 Pearl St APT 2C,LA JOLLA,CA,32839036,-117279676,1/19/2019,62655499,https://www.zillow.com/homedetails/410-Pearl-St-APT-2C-La-Jolla-CA-92037/62655499_zpid/
Condo for sale,2,60,"1,158","$949,000 ",7811 Eads Ave UNIT 411,LA JOLLA,CA,32845008,-117276189,1/19/2019,16847978,https://www.zillow.com/homedetails/7811-Eads-Ave-UNIT-411-La-Jolla-CA-92037/16847978_zpid/
House for sale,3,2,"1,702","$949,000 ",2460 Azure Coast Dr,LA JOLLA,CA,32850079,-117249730,1/19/2019,16851353,https://www.zillow.com/homedetails/2460-Azure-Coast-Dr-La-Jolla-CA-92037/16851353_zpid/
Condo for sale,2,2,"1,345","$988,888 ",1236 Cave St UNIT 2B,LA JOLLA,CA,32848152,-117271469,1/19/2019,16848003,https://www.zillow.com/homedetails/1236-Cave-St-UNIT-2B-La-Jolla-CA-92037/16848003_zpid/
Condo for sale,2,3,"1,620","$998,888 ",403 Bonair St,LA JOLLA,CA,32830430,-117277567,1/19/2019,83893267,https://www.zillow.com/homedetails/403-Bonair-St-La-Jolla-CA-92037/83893267_zpid/
House for sale,2,2,"1,008","$999,000 ",1551 Olivet Ln,LA JOLLA,CA,32846735,-117265117,1/19/2019,16848226,https://www.zillow.com/homedetails/1551-Olivet-Ln-La-Jolla-CA-92037/16848226_zpid/
Condo for sale,2,2,"1,215","$1,025,000 ",909 Coast Blvd UNIT 2,LA JOLLA,CA,32847585,-117276649,1/19/2019,16847637,https://www.zillow.com/homedetails/909-Coast-Blvd-UNIT-2-La-Jolla-CA-92037/16847637_zpid/
Condo for sale,3,3,"2,070","$1,045,000 ",5428 Caminito Herminia,LA JOLLA,CA,32819284,-117236075,1/19/2019,16857439,https://www.zillow.com/homedetails/5428-Caminito-Herminia-La-Jolla-CA-92037/16857439_zpid/
House for sale,2,2,"1,352","$1,048,000 ",2488 Azure Coast Dr,LA JOLLA,CA,32850079,-117249730,1/19/2019,16851343,https://www.zillow.com/homedetails/2488-Azure-Coast-Dr-La-Jolla-CA-92037/16851343_zpid/
House for sale,3,3,"2,555","$1,099,000 ",5401 La Jolla Mesa Dr,LA JOLLA,CA,32812989,-117259829,1/19/2019,16856375,https://www.zillow.com/homedetails/5401-La-Jolla-Mesa-Dr-La-Jolla-CA-92037/16856375_zpid/
Condo for sale,2,2,"1,737","$1,100,000 ",1001 Genter St UNIT 1G,LA JOLLA,CA,32836669,-117271026,1/19/2019,16849585,https://www.zillow.com/homedetails/1001-Genter-St-UNIT-1G-La-Jolla-CA-92037/16849585_zpid/
Condo for sale,3,3,"2,593","$1,150,000 ",1478 Caminito Solidago,LA JOLLA,CA,32819986,-117251273,1/19/2019,16858249,https://www.zillow.com/homedetails/1478-Caminito-Solidago-La-Jolla-CA-92037/16858249_zpid/
Condo for sale,2,2,"1,204","$1,150,000 ",305 Prospect St,LA JOLLA,CA,32840350,-117279906,1/19/2019,16848626,https://www.zillow.com/homedetails/305-Prospect-St-La-Jolla-CA-92037/16848626_zpid/
Condo for sale,4,3,"2,601","$1,195,000 ",9752 Keeneland Row,LA JOLLA,CA,32882061,-117244954,1/19/2019,17204078,https://www.zillow.com/homedetails/9752-Keeneland-Row-La-Jolla-CA-92037/17204078_zpid/
Townhouse for sale,4,3,"1,824","$1,199,888 ",8746 Caminito Sueno,LA JOLLA,CA,32866483,-117238585,1/19/2019,16836097,https://www.zillow.com/homedetails/8746-Caminito-Sueno-La-Jolla-CA-92037/16836097_zpid/
Coming soon,3,2,"1,519","$1,249,000 ",2130 Vallecitos UNIT 244,LA JOLLA,CA,32855334,-117256713,1/19/2019,16838727,https://www.zillow.com/homedetails/2130-Vallecitos-UNIT-244-La-Jolla-CA-92037/16838727_zpid/
House for sale,3,2,"1,560","$1,250,000 ",5439 La Jolla Mesa Dr,LA JOLLA,CA,32813572,-117259567,1/19/2019,16856371,https://www.zillow.com/homedetails/5439-La-Jolla-Mesa-Dr-La-Jolla-CA-92037/16856371_zpid/
Condo for sale,3,2,"1,252","$1,250,000 ",408 Bonair St,LA JOLLA,CA,32830883,-117277667,1/19/2019,16849982,https://www.zillow.com/homedetails/408-Bonair-St-La-Jolla-CA-92037/16849982_zpid/
Condo for sale,2,3,"2,310","$1,250,000 ",8215 Caminito Lacayo,LA JOLLA,CA,32856462,-117242859,1/19/2019,16840000,https://www.zillow.com/homedetails/8215-Caminito-Lacayo-La-Jolla-CA-92037/16840000_zpid/
Lot / Land for sale,,,"10,890","$1,250,000 ",8356 Sugarman Dr LOT 57,La Jolla,CA,32858334,-117238814,1/19/2019,2087306108,https://www.zillow.com/homedetails/8356-Sugarman-Dr-LOT-57-La-Jolla-CA-92037/2087306108_zpid/
Condo for sale,2,2,"1,142","$1,250,000 ",800 Prospect St UNIT 1C,LA JOLLA,CA,32845546,-117276924,1/19/2019,16847902,https://www.zillow.com/homedetails/800-Prospect-St-UNIT-1C-La-Jolla-CA-92037/16847902_zpid/
House for sale,2,2,"1,160","$1,274,000 ",6762 Tyrian St,La Jolla,CA,32829998,-117276085,1/19/2019,2089705875,https://www.zillow.com/homedetails/6762-Tyrian-St-La-Jolla-CA-92037/2089705875_zpid/
House for sale,3,3,"2,469","$1,285,000 ",5417 Caminito Bayo,LA JOLLA,CA,32814290,-117252642,1/19/2019,16858534,https://www.zillow.com/homedetails/5417-Caminito-Bayo-La-Jolla-CA-92037/16858534_zpid/
Lot / Land for sale,,,"7,501","$1,350,000 ",627 Colima St LOT 4,La Jolla,CA,32811664,-117263634,1/19/2019,2086598184,https://www.zillow.com/homedetails/627-Colima-St-LOT-4-La-Jolla-CA-92037/2086598184_zpid/
Lot / Land for sale,,,"7,501","$1,350,000 ",623 Colima St LOT 4,La Jolla,CA,32811593,-117263539,1/19/2019,2086598302,https://www.zillow.com/homedetails/623-Colima-St-LOT-4-La-Jolla-CA-92037/2086598302_zpid/
Lot / Land for sale,,,"10,890","$1,375,000 ",1510 Copa De Oro Dr LOT 84,La Jolla,CA,32817917,-117255745,1/19/2019,2088946917,https://www.zillow.com/homedetails/1510-Copa-De-Oro-Dr-LOT-84-La-Jolla-CA-92037/2088946917_zpid/
Lot / Land for sale,,,"10,890","$1,375,000 ",1510 Copa De Oro Dr,La Jolla,CA,32817917,-117255745,1/19/2019,99464806,https://www.zillow.com/homedetails/1510-Copa-De-Oro-Dr-La-Jolla-CA-92037/99464806_zpid/
Apartment for sale,2,2,--,"$1,599,000 ",376 378 Nautilus,La Jolla,CA,32831605,-117278140,1/19/2019,2087784785,https://www.zillow.com/homedetails/376-378-Nautilus-La-Jolla-CA-92037/2087784785_zpid/
House for sale,3,2,"1,235","$1,599,000 ",5429 Bellevue Ave,LA JOLLA,CA,32812668,-117262569,1/19/2019,16856216,https://www.zillow.com/homedetails/5429-Bellevue-Ave-La-Jolla-CA-92037/16856216_zpid/
Condo for sale,3,3,"2,611","$1,625,000 ",5418 Caminito Bayo,LA JOLLA,CA,32814428,-117253079,1/19/2019,16858529,https://www.zillow.com/homedetails/5418-Caminito-Bayo-La-Jolla-CA-92037/16858529_zpid/
House for sale,4,4,"2,059","$1,648,000 ",6756 Tyrian St,La Jolla,CA,32830016,-117276120,1/19/2019,2089695298,https://www.zillow.com/homedetails/6756-Tyrian-St-La-Jolla-CA-92037/2089695298_zpid/
Coming soon,4,4,2,"$1,650,000 ",1380 Caminito Balada,LA JOLLA,CA,32815626,-117249620,1/19/2019,16858472,https://www.zillow.com/homedetails/1380-Caminito-Balada-La-Jolla-CA-92037/16858472_zpid/
House for sale,4,4,"2,679","$1,650,000 ",2817 Caminito Turnberry,LA JOLLA,CA,32835715,-117239686,1/19/2019,16852668,https://www.zillow.com/homedetails/2817-Caminito-Turnberry-La-Jolla-CA-92037/16852668_zpid/
House for sale,3,2,"1,993","$1,650,000 ",5515 Ladybird Ln,LA JOLLA,CA,32814332,-117260056,1/19/2019,16856061,https://www.zillow.com/homedetails/5515-Ladybird-Ln-La-Jolla-CA-92037/16856061_zpid/
House for sale,5,4,"2,730","$1,674,888 ",5645 Soledad Mountain Rd,LA JOLLA,CA,32823628,-117235295,1/19/2019,16857071,https://www.zillow.com/homedetails/5645-Soledad-Mountain-Rd-La-Jolla-CA-92037/16857071_zpid/
Condo for sale,4,3,"2,694","$1,675,000 ",5423 Caminito Bayo,LA JOLLA,CA,32814382,-117252584,1/19/2019,81962138,https://www.zillow.com/homedetails/5423-Caminito-Bayo-La-Jolla-CA-92037/81962138_zpid/
House for sale,5,4,"1,400","$1,689,000 ",521 Arenas St,LA JOLLA,CA,32834950,-117277071,1/19/2019,16849480,https://www.zillow.com/homedetails/521-Arenas-St-La-Jolla-CA-92037/16849480_zpid/
House for sale,4,4.5,"2,308","$1,695,000 ",5620 La Jolla Blvd,LA JOLLA,CA,32814138,-117270100,1/19/2019,55326783,https://www.zillow.com/homedetails/5620-La-Jolla-Blvd-La-Jolla-CA-92037/55326783_zpid/
Townhouse for sale,3,3,"2,428","$1,695,000 ",5412 Caminito Bayo,LA JOLLA,CA,32814328,-117253142,1/19/2019,16858530,https://www.zillow.com/homedetails/5412-Caminito-Bayo-La-Jolla-CA-92037/16858530_zpid/
House for sale,3,3,"2,295","$1,695,000 ",8356 Sugarman Dr,LA JOLLA,CA,32858334,-117238814,1/19/2019,16840238,https://www.zillow.com/homedetails/8356-Sugarman-Dr-La-Jolla-CA-92037/16840238_zpid/
Condo for sale,2,2,"2,163","$1,725,000 ",5430 La Jolla Blvd # C203,La Jolla,CA,32811267,-117267541,1/19/2019,63659178,https://www.zillow.com/homedetails/5430-La-Jolla-Blvd-C203-La-Jolla-CA-92037/63659178_zpid/
Condo for sale,2,2,"1,481","$1,725,000 ",100 Coast Blvd UNIT 204,LA JOLLA,CA,32839031,-117281031,1/19/2019,16848862,https://www.zillow.com/homedetails/100-Coast-Blvd-UNIT-204-La-Jolla-CA-92037/16848862_zpid/
House for sale,3,2,"1,429","$1,749,999 ",5661 Beaumont Ave,LA JOLLA,CA,32815579,-117268085,1/19/2019,16855688,https://www.zillow.com/homedetails/5661-Beaumont-Ave-La-Jolla-CA-92037/16855688_zpid/
House for sale,7,4,"2,450","$1,750,000 ",1164 Turquoise St,SAN DIEGO,CA,32810440,-117252353,1/19/2019,16908045,https://www.zillow.com/homedetails/1164-Turquoise-St-San-Diego-CA-92109/16908045_zpid/
House for sale,4,2,"2,292","$1,795,000 ",1006 Newkirk Dr,LA JOLLA,CA,32825021,-117268232,1/19/2019,16854818,https://www.zillow.com/homedetails/1006-Newkirk-Dr-La-Jolla-CA-92037/16854818_zpid/
