title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
House for rent,4,2.5,"2,007","$5,495",,,2826 Palomino Cir, La Jolla, CA,32827796,-117238283,16856942,2019-01-20,https://www.zillow.com/homedetails/2826-Palomino-Cir-La-Jolla-CA-92037/16856942_zpid/
House for rent,2,2,"1,190","$5,500",,,307 Prospect St, La Jolla, CA,32840350,-117279906,16848627,2019-01-20,https://www.zillow.com/homedetails/307-Prospect-St-La-Jolla-CA-92037/16848627_zpid/
Condo for rent,2,2,"1,469","$5,575",,,320 Prospect St, La Jolla, CA,32840955,-117280285,16848576,2019-01-20,https://www.zillow.com/homedetails/320-Prospect-St-La-Jolla-CA-92037/16848576_zpid/
House for rent,3,2,"1,748","$5,600",,,902 Newkirk Dr, La Jolla, CA,32824390,-117269680,16854807,2019-01-20,https://www.zillow.com/homedetails/902-Newkirk-Dr-La-Jolla-CA-92037/16854807_zpid/
House for rent,2,2,"1,200","$5,800",,,1657 Kearsarge Rd, La Jolla, CA,32845551,-117263048,16848465,2019-01-20,https://www.zillow.com/homedetails/1657-Kearsarge-Rd-La-Jolla-CA-92037/16848465_zpid/
House for rent,3,2,"1,706","$5,995",,,5770 5770 Bellevue Ave, La Jolla, CA,32817833,-117267972,2086489471,2019-01-20,https://www.zillow.com/homedetails/5770-5770-Bellevue-Ave-La-Jolla-CA-92037/2086489471_zpid/
Townhouse for rent,2,2,"2,038","$5,995",,,Draper Ave, La Jolla, CA,32837030,-117275650,2086820610,2019-01-20,https://www.zillow.com/homedetails/Draper-Ave-La-Jolla-CA-92037/2086820610_zpid/
Apartment for rent,3,2.5,"1,432","$5,995",,,7419 Olivetas Ave, La Jolla, CA,32837669,-117279132,2087399591,2019-01-20,https://www.zillow.com/homedetails/7419-Olivetas-Ave-La-Jolla-CA-92037/2087399591_zpid/
House for rent,3,1,"1,088","$6,000",,,5666 Beaumont Ave, La Jolla, CA,32815541,-117268673,16855678,2019-01-20,https://www.zillow.com/homedetails/5666-Beaumont-Ave-La-Jolla-CA-92037/16855678_zpid/
House for rent,4,2.5,"2,600","$6,000",,,7855 Calle Juela, La Jolla, CA,32849818,-117254663,16839290,2019-01-20,https://www.zillow.com/homedetails/7855-Calle-Juela-La-Jolla-CA-92037/16839290_zpid/
House for rent,3,3,"2,469","$6,000",,,7090 Camto La Benera, San Diego, CA,32844700,-117253600,2086427950,2019-01-20,https://www.zillow.com/homedetails/7090-Camto-La-Benera-San-Diego-CA-92037/2086427950_zpid/
House for rent,3,3,"2,446","$6,200",,,1327 Torrey Pines Rd, La Jolla, CA,32845041,-117269181,52514170,2019-01-20,https://www.zillow.com/homedetails/1327-Torrey-Pines-Rd-La-Jolla-CA-92037/52514170_zpid/
House for rent,4,3,"2,525","$6,350",,,838 Lamplight Dr, La Jolla, CA,32814543,-117259070,16856321,2019-01-20,https://www.zillow.com/homedetails/838-Lamplight-Dr-La-Jolla-CA-92037/16856321_zpid/
For Rent,2,,,"$6,500",3,"$6,495",7834 Ivanhoe Ave, La Jolla, CA,32846153,-117272094,32.846153--117.272094,2019-01-20,"https://www.zillow.com/b/7834-Ivanhoe-Ave-LA-JOLLA-CA/32.846153,-117.272094_ll/"
House for rent,6,3,"2,700","$6,500",,,420 Midway St, La Jolla, CA,32812776,-117267719,16855910,2019-01-20,https://www.zillow.com/homedetails/420-Midway-St-La-Jolla-CA-92037/16855910_zpid/
House for rent,5,3.5,"3,350","$6,500",,,1790 Nautilus St, La Jolla, CA,32831409,-117257484,16851939,2019-01-20,https://www.zillow.com/homedetails/1790-Nautilus-St-La-Jolla-CA-92037/16851939_zpid/
House for rent,4,2,"2,453","$6,500",,,5560 Candlelight Dr, La Jolla, CA,32816290,-117258342,16856331,2019-01-20,https://www.zillow.com/homedetails/5560-Candlelight-Dr-La-Jolla-CA-92037/16856331_zpid/
House for rent,4,3.5,"2,717","$6,600",,,536 Sea Ln, La Jolla, CA,32836888,-117277355,59310451,2019-01-20,https://www.zillow.com/homedetails/536-Sea-Ln-La-Jolla-CA-92037/59310451_zpid/
House for rent,4,3,"2,878","$6,800",,,1442 Calle Altura, La Jolla, CA,32815143,-117255291,16857200,2019-01-20,https://www.zillow.com/homedetails/1442-Calle-Altura-La-Jolla-CA-92037/16857200_zpid/
For Rent,2,,,"$12,000",3,"$6,800",225 Bonair St, La Jolla, CA,32829894,-117279882,32.829894--117.279882,2019-01-20,"https://www.zillow.com/b/225-Bonair-St-LA-JOLLA-CA/32.829894,-117.279882_ll/"
Condo for rent,2,2.5,"1,648","$6,900",,,265 Coast Blvd UNIT 10, La Jolla, CA,32840395,-117281140,16848574,2019-01-20,https://www.zillow.com/homedetails/265-Coast-Blvd-UNIT-10-La-Jolla-CA-92037/16848574_zpid/
House for rent,3,2.5,"1,366","$6,900",,,7988 Roseland Dr, La Jolla, CA,32851794,-117260047,16839170,2019-01-20,https://www.zillow.com/homedetails/7988-Roseland-Dr-La-Jolla-CA-92037/16839170_zpid/
House for rent,3,2,"1,191","$6,995",,,371 Nautilus St, La Jolla, CA,32831215,-117278211,66656299,2019-01-20,https://www.zillow.com/homedetails/371-Nautilus-St-La-Jolla-CA-92037/66656299_zpid/
Condo for rent,2,2,"1,115","$6,995",,,1219 Coast Blvd UNIT 3, La Jolla, CA,32849724,-117271836,16847889,2019-01-20,https://www.zillow.com/homedetails/1219-Coast-Blvd-UNIT-3-La-Jolla-CA-92037/16847889_zpid/
House for rent,3,2,"1,890","$7,000",,,7788 Sierra Mar Dr, La Jolla, CA,32848579,-117261486,16848111,2019-01-20,https://www.zillow.com/homedetails/7788-Sierra-Mar-Dr-La-Jolla-CA-92037/16848111_zpid/
House for rent,2,2,"1,090","$7,000",,,1665 Kearsarge Rd, La Jolla, CA,32845661,-117262921,16848466,2019-01-20,https://www.zillow.com/homedetails/1665-Kearsarge-Rd-La-Jolla-CA-92037/16848466_zpid/
House for rent,1,1,528,"$7,100",,,8003 Ocean Ln, La Jolla, CA,32847866,-117275201,65398464,2019-01-20,https://www.zillow.com/homedetails/8003-Ocean-Ln-La-Jolla-CA-92037/65398464_zpid/
House for rent,2,3,--,"$7,495",,,5662 Dolphin Pl, La Jolla, CA,32814314,-117272556,16855595,2019-01-20,https://www.zillow.com/homedetails/5662-Dolphin-Pl-La-Jolla-CA-92037/16855595_zpid/
House for rent,2,2,"1,213","$7,500",,,370 Nautilus St, La Jolla, CA,32831667,-117278379,2104001888,2019-01-20,https://www.zillow.com/homedetails/370-Nautilus-St-La-Jolla-CA-92037/2104001888_zpid/
House for rent,3,2,"2,428","$7,500",,,1114 Skylark Dr, La Jolla, CA,32816439,-117260695,16855847,2019-01-20,https://www.zillow.com/homedetails/1114-Skylark-Dr-La-Jolla-CA-92037/16855847_zpid/
House for rent,3,3.5,"2,449","$7,500",,,2569 Hidden Valley Rd, La Jolla, CA,32847453,-117252447,16851334,2019-01-20,https://www.zillow.com/homedetails/2569-Hidden-Valley-Rd-La-Jolla-CA-92037/16851334_zpid/
House for rent,3,2.5,"1,971","$7,500",,,7967 Paseo Del Ocaso, La Jolla, CA,32851917,-117254692,16839260,2019-01-20,https://www.zillow.com/homedetails/7967-Paseo-Del-Ocaso-La-Jolla-CA-92037/16839260_zpid/
House for rent,5,4,"3,428","$7,500",,,8505 Nottingham Pl, La Jolla, CA,32861525,-117241802,16839873,2019-01-20,https://www.zillow.com/homedetails/8505-Nottingham-Pl-La-Jolla-CA-92037/16839873_zpid/
Condo for rent,2,2,"1,673","$7,500",,,7555 Eads Ave UNIT 1, La Jolla, CA,32841118,-117274920,63061469,2019-01-20,https://www.zillow.com/homedetails/7555-Eads-Ave-UNIT-1-La-Jolla-CA-92037/63061469_zpid/
House for rent,6,4,"3,400","$7,500",,,2139 Torrey Pines Rd, La Jolla, CA,32850203,-117254553,61239748,2019-01-20,https://www.zillow.com/homedetails/2139-Torrey-Pines-Rd-La-Jolla-CA-92037/61239748_zpid/
Townhouse for rent,2,2.5,"1,921","$7,500",,,Coast Blvd, La Jolla, CA,32848570,-117275910,2089585471,2019-01-20,https://www.zillow.com/homedetails/Coast-Blvd-La-Jolla-CA-92037/2089585471_zpid/
For Rent,1,,,"$7,500",2,"$10,000",7824 Girard Ave, La Jolla, CA,32845540,-117274529,2079483396,2019-01-20,"https://www.zillow.com/b/7824-Girard-Ave-La-Jolla-CA/32.84554,-117.274529_ll/"
Townhouse for rent,3,3,"1,380","$7,900",,,366 Forward St APT F, La Jolla, CA,32813918,-117269967,61680318,2019-01-20,https://www.zillow.com/homedetails/366-Forward-St-APT-F-La-Jolla-CA-92037/61680318_zpid/
House for rent,5,3,"3,280","$8,000",,,Via Anita, La Jolla, CA,32825670,-117247180,2086512849,2019-01-20,https://www.zillow.com/homedetails/Via-Anita-La-Jolla-CA-92037/2086512849_zpid/
Condo for rent,2,2,"2,115","$8,000",,,1001 Genter St UNIT 1I, La Jolla, CA,32836669,-117271026,16849587,2019-01-20,https://www.zillow.com/homedetails/1001-Genter-St-UNIT-1I-La-Jolla-CA-92037/16849587_zpid/
House for rent,3,2,"1,353","$8,000",,,7623 Mar Ave, La Jolla, CA,32843198,-117267940,16848777,2019-01-20,https://www.zillow.com/homedetails/7623-Mar-Ave-La-Jolla-CA-92037/16848777_zpid/
House for rent,3,3,"2,259","$8,500",,,5396 Chelsea St, La Jolla, CA,32810355,-117267817,16907449,2019-01-20,https://www.zillow.com/homedetails/5396-Chelsea-St-La-Jolla-CA-92037/16907449_zpid/
House for rent,4,3,"2,450","$8,500",,,8279 Camino Del Oro, La Jolla, CA,32856248,-117256360,2103871887,2019-01-20,https://www.zillow.com/homedetails/8279-Camino-Del-Oro-La-Jolla-CA-92037/2103871887_zpid/
Condo for rent,2,2,"1,390","$8,500",,,1039 Coast Blvd UNIT F, La Jolla, CA,32848736,-117275146,16847819,2019-01-20,https://www.zillow.com/homedetails/1039-Coast-Blvd-UNIT-F-La-Jolla-CA-92037/16847819_zpid/
House for rent,3,2,"1,685","$8,500",,,8433 El Paseo Grande, La Jolla, CA,32859413,-117255032,16838429,2019-01-20,https://www.zillow.com/homedetails/8433-El-Paseo-Grande-La-Jolla-CA-92037/16838429_zpid/
House for rent,4,2,"2,012","$8,700",,,Muirlands Vista Way, La Jolla, CA,32826020,-117269460,2088530983,2019-01-20,https://www.zillow.com/homedetails/Muirlands-Vista-Way-La-Jolla-CA-92037/2088530983_zpid/
House for rent,2,2,"1,010","$8,800",,,339 Rosemont St, La Jolla, CA,32827219,-117277555,72149192,2019-01-20,https://www.zillow.com/homedetails/339-Rosemont-St-La-Jolla-CA-92037/72149192_zpid/
Townhouse for rent,3,2,"1,488","$8,800",,,8121 Camino Del Sol UNIT 101, La Jolla, CA,32854622,-117256467,16838894,2019-01-20,https://www.zillow.com/homedetails/8121-Camino-Del-Sol-UNIT-101-La-Jolla-CA-92037/16838894_zpid/
House for rent,4,4,"2,750","$9,000",,,5795 Waverly Ave, La Jolla, CA,32818253,-117269062,16855310,2019-01-20,https://www.zillow.com/homedetails/5795-Waverly-Ave-La-Jolla-CA-92037/16855310_zpid/
Townhouse for rent,2,2.5,"2,240","$9,000",,,6639 La Jolla Blvd, La Jolla, CA,32828273,-117276698,2101156624,2019-01-20,https://www.zillow.com/homedetails/6639-La-Jolla-Blvd-La-Jolla-CA-92037/2101156624_zpid/
For Rent,2,,,"$9,000",3,"$20,000",6722 Vista Del Mar Ave, La Jolla, CA,32828904,-117279864,32.828904--117.279864,2019-01-20,"https://www.zillow.com/b/6722-Vista-Del-Mar-Ave-LA-JOLLA-CA/32.828904,-117.279864_ll/"
House for rent,4,3,"2,528","$9,000",,,8320 La Jolla Shores Dr, La Jolla, CA,32857804,-117253930,16838618,2019-01-20,https://www.zillow.com/homedetails/8320-La-Jolla-Shores-Dr-La-Jolla-CA-92037/16838618_zpid/
House for rent,4,3,"2,276","$9,000",,,8330 Prestwick Dr, La Jolla, CA,32857774,-117247909,16838669,2019-01-20,https://www.zillow.com/homedetails/8330-Prestwick-Dr-La-Jolla-CA-92037/16838669_zpid/
House for rent,4,6,"2,714","$9,000",,,8294 Prestwick Dr, La Jolla, CA,32856935,-117247619,16838672,2019-01-20,https://www.zillow.com/homedetails/8294-Prestwick-Dr-La-Jolla-CA-92037/16838672_zpid/
House for rent,5,4,"4,000","$9,500",,,5413 Avenida Fiesta, La Jolla, CA,32818474,-117232003,16857088,2019-01-20,https://www.zillow.com/homedetails/5413-Avenida-Fiesta-La-Jolla-CA-92037/16857088_zpid/
House for rent,3,3,"1,800","$9,500",,,445 Coast Blvd, La Jolla, CA,32842624,-117279118,2086393761,2019-01-20,https://www.zillow.com/homedetails/445-Coast-Blvd-La-Jolla-CA-92037/2086393761_zpid/
House for rent,4,3.5,"3,281","$9,500",,,8414 Avenida De Las Ondas, La Jolla, CA,32859834,-117251383,16838554,2019-01-20,https://www.zillow.com/homedetails/8414-Avenida-De-Las-Ondas-La-Jolla-CA-92037/16838554_zpid/
House for rent,2,1,"1,000","$10,000",,,531 Sea Ln, La Jolla, CA,32836421,-117277396,2104454213,2019-01-20,https://www.zillow.com/homedetails/531-Sea-Ln-La-Jolla-CA-92037/2104454213_zpid/
House for rent,4,4.5,"3,901","$10,000",,,257 Playa Del Sur, La Jolla, CA,32829051,-117279067,16850128,2019-01-20,https://www.zillow.com/homedetails/257-Playa-Del-Sur-La-Jolla-CA-92037/16850128_zpid/
House for rent,3,3,"1,800","$10,000",,,7745 Herschel Ave, La Jolla, CA,32844834,-117272210,2117377699,2019-01-20,https://www.zillow.com/homedetails/7745-Herschel-Ave-La-Jolla-CA-92037/2117377699_zpid/
Condo for rent,2,2,"1,000","$10,000",,,8155 Camino Del Oro, La Jolla, CA,32855027,-117257141,16838892,2019-01-20,https://www.zillow.com/homedetails/8155-Camino-Del-Oro-La-Jolla-CA-92037/16838892_zpid/
House for rent,3,2.5,"2,367","$10,000",,,7465 Draper Ave, La Jolla, CA,32839311,-117275623,16848954,2019-01-20,https://www.zillow.com/homedetails/7465-Draper-Ave-La-Jolla-CA-92037/16848954_zpid/
House for rent,3,3.5,"3,400","$10,000",,,1506 Kearsarge Rd, La Jolla, CA,32844247,-117265390,16848799,2019-01-20,https://www.zillow.com/homedetails/1506-Kearsarge-Rd-La-Jolla-CA-92037/16848799_zpid/
House for rent,3,2.5,"1,800","$10,500",,,5787 Waverly Ave, La Jolla, CA,32818174,-117268811,16855311,2019-01-20,https://www.zillow.com/homedetails/5787-Waverly-Ave-La-Jolla-CA-92037/16855311_zpid/
House for rent,5,5.5,"3,800","$10,500",,,1518 Bluebird Ln, La Jolla, CA,32847302,-117266739,25777247,2019-01-20,https://www.zillow.com/homedetails/1518-Bluebird-Ln-La-Jolla-CA-92037/25777247_zpid/
House for rent,3,2.5,"1,920","$11,000",,,542 Westbourne St, La Jolla, CA,32833419,-117276033,16849811,2019-01-20,https://www.zillow.com/homedetails/542-Westbourne-St-La-Jolla-CA-92037/16849811_zpid/
House for rent,4,4,"3,100","$11,500",,,317 Bandera St, La Jolla, CA,32808607,-117267112,16907542,2019-01-20,https://www.zillow.com/homedetails/317-Bandera-St-La-Jolla-CA-92037/16907542_zpid/
House for rent,3,3,"2,568","$11,500",,,1288 Silverado St, La Jolla, CA,32847572,-117270387,16848023,2019-01-20,https://www.zillow.com/homedetails/1288-Silverado-St-La-Jolla-CA-92037/16848023_zpid/
House for rent,4,3.5,"3,605","$12,000",,,6260 Waverly Ave, La Jolla, CA,32824886,-117273012,16850986,2019-01-20,https://www.zillow.com/homedetails/6260-Waverly-Ave-La-Jolla-CA-92037/16850986_zpid/
House for rent,4,4,"3,268","$12,000",,,Vista De La Mesa, La Jolla, CA,32820980,-117275190,2088743981,2019-01-20,https://www.zillow.com/homedetails/Vista-De-La-Mesa-La-Jolla-CA-92037/2088743981_zpid/
Apartment for rent,2,2,"1,000","$12,000",,,616 Prospect St APT 19, La Jolla, CA,32843795,-117278332,2101702560,2019-01-20,https://www.zillow.com/homedetails/616-Prospect-St-APT-19-La-Jolla-CA-92037/2101702560_zpid/
House for rent,5,3,"3,515","$12,000",,,2585 Hidden Valley Rd, La Jolla, CA,32847246,-117252026,16851335,2019-01-20,https://www.zillow.com/homedetails/2585-Hidden-Valley-Rd-La-Jolla-CA-92037/16851335_zpid/
House for rent,5,5,"2,975","$12,000",,,9776 Claiborne Sq, La Jolla, CA,32882761,-117245566,17204117,2019-01-20,https://www.zillow.com/homedetails/9776-Claiborne-Sq-La-Jolla-CA-92037/17204117_zpid/
Condo for rent,2,2,"1,456","$12,000",,,373 Coast Blvd S UNIT 2, La Jolla, CA,32841782,-117280397,16848472,2019-01-20,https://www.zillow.com/homedetails/373-Coast-Blvd-S-UNIT-2-La-Jolla-CA-92037/16848472_zpid/
House for rent,3,1.5,"1,250","$12,200",,,530 Genter St, La Jolla, CA,32836396,-117277388,2090892435,2019-01-20,https://www.zillow.com/homedetails/530-Genter-St-La-Jolla-CA-92037/2090892435_zpid/
House for rent,5,5,"3,285","$13,995",,,7911 El Paseo Grande, La Jolla, CA,32851734,-117255779,16839232,2019-01-20,https://www.zillow.com/homedetails/7911-El-Paseo-Grande-La-Jolla-CA-92037/16839232_zpid/
House for rent,3,2,"1,600","$14,000",,,2232 Vallecitos, La Jolla, CA,32855649,-117254427,16838820,2019-01-20,https://www.zillow.com/homedetails/2232-Vallecitos-La-Jolla-CA-92037/16838820_zpid/
House for rent,3,3,"2,170","$15,000",,,232 Rosemont St, La Jolla, CA,32827258,-117278981,16850323,2019-01-20,https://www.zillow.com/homedetails/232-Rosemont-St-La-Jolla-CA-92037/16850323_zpid/
House for rent,4,3,"1,899","$15,000",,,Fay Ave, La Jolla, CA,32837170,-117272740,2086791952,2019-01-20,https://www.zillow.com/homedetails/Fay-Ave-La-Jolla-CA-92037/2086791952_zpid/
House for rent,4,4.5,"2,322","$15,000",,,8001 Calle De La Plata, La Jolla, CA,32852702,-117256158,16839012,2019-01-20,https://www.zillow.com/homedetails/8001-Calle-De-La-Plata-La-Jolla-CA-92037/16839012_zpid/
House for rent,5,4,"3,667","$15,000",,,2075 Torrey Pines Rd, La Jolla, CA,32849790,-117255754,16839277,2019-01-20,https://www.zillow.com/homedetails/2075-Torrey-Pines-Rd-La-Jolla-CA-92037/16839277_zpid/
House for rent,2,2,"1,584","$15,400",,,448 Sea Ln, La Jolla, CA,32836497,-117278753,16849151,2019-01-20,https://www.zillow.com/homedetails/448-Sea-Ln-La-Jolla-CA-92037/16849151_zpid/
House for rent,4,4,"2,426","$16,000",,,1131 Avenida Amantea, La Jolla, CA,32818469,-117260987,16855576,2019-01-20,https://www.zillow.com/homedetails/1131-Avenida-Amantea-La-Jolla-CA-92037/16855576_zpid/
House for rent,5,4.5,"5,696","$16,500",,,7712 Moonridge Pl, La Jolla, CA,32847650,-117243887,16839780,2019-01-20,https://www.zillow.com/homedetails/7712-Moonridge-Pl-La-Jolla-CA-92037/16839780_zpid/
House for rent,4,6.5,"4,900","$17,000",,,6352 Castejon Dr, La Jolla, CA,32831116,-117249741,16851838,2019-01-20,https://www.zillow.com/homedetails/6352-Castejon-Dr-La-Jolla-CA-92037/16851838_zpid/
House for rent,3,3.5,"2,814","$18,000",,,Country Club Dr, La Jolla, CA,32844769,-117266680,2091900726,2019-01-20,https://www.zillow.com/homedetails/Country-Club-Dr-La-Jolla-CA-92037/2091900726_zpid/
House for rent,3,4,"3,100","$19,975",,,1496 Vista Claridad, La Jolla, CA,32818219,-117256855,16857711,2019-01-20,https://www.zillow.com/homedetails/1496-Vista-Claridad-La-Jolla-CA-92037/16857711_zpid/
House for rent,5,5.5,"5,700","$19,995",,,9519 La Jolla Farms Rd, La Jolla, CA,32878509,-117244254,16834471,2019-01-20,https://www.zillow.com/homedetails/9519-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834471_zpid/
House for rent,5,5,"5,062","$19,995",,,9805 Black Gold Rd, La Jolla, CA,32885576,-117245653,16834388,2019-01-20,https://www.zillow.com/homedetails/9805-Black-Gold-Rd-La-Jolla-CA-92037/16834388_zpid/
Apartment for rent,3,2,"1,859","$20,000",,,5366 Chelsea St, La Jolla, CA,32810025,-117267080,16907463,2019-01-20,https://www.zillow.com/homedetails/5366-Chelsea-St-La-Jolla-CA-92037/16907463_zpid/
House for rent,6,5,"5,006","$20,000",,,(undisclosed Address), La Jolla, CA,32844920,-117261575,2143903777,2019-01-20,https://www.zillow.com/homedetails/(undisclosed-Address)-La-Jolla-CA-92037/2143903777_zpid/
House for rent,5,3,"2,000","$20,000",,,8733 Dunaway Dr, La Jolla, CA,32865457,-117243559,16834993,2019-01-20,https://www.zillow.com/homedetails/8733-Dunaway-Dr-La-Jolla-CA-92037/16834993_zpid/
House for rent,3,2,"1,350","$20,500",,,7272 Dune Ln, La Jolla, CA,32835715,-117280076,16849329,2019-01-20,https://www.zillow.com/homedetails/7272-Dune-Ln-La-Jolla-CA-92037/16849329_zpid/
House for rent,3,2.5,"2,467","$22,000",,,292 Bonair St, La Jolla, CA,32830550,-117279284,16849865,2019-01-20,https://www.zillow.com/homedetails/292-Bonair-St-La-Jolla-CA-92037/16849865_zpid/
Apartment for rent,5,5,"5,516","$22,000",,,6209 Camino De La Costa, La Jolla, CA,32821603,-117279311,16854692,2019-01-20,https://www.zillow.com/homedetails/6209-Camino-De-La-Costa-La-Jolla-CA-92037/16854692_zpid/
House for rent,4,3,"2,351","$22,000",,,1740 Torrey Pines Rd, La Jolla, CA,32849033,-117263042,16848098,2019-01-20,https://www.zillow.com/homedetails/1740-Torrey-Pines-Rd-La-Jolla-CA-92037/16848098_zpid/
House for rent,4,3,"2,167","$23,000",,,7228 Monte Vista Ave, La Jolla, CA,32835233,-117279669,16849326,2019-01-20,https://www.zillow.com/homedetails/7228-Monte-Vista-Ave-La-Jolla-CA-92037/16849326_zpid/
Condo for rent,3,3,"1,910","$24,070",,,6767 Neptune Pl UNIT 102, La Jolla, CA,32829292,-117280082,124865919,2019-01-20,https://www.zillow.com/homedetails/6767-Neptune-Pl-UNIT-102-La-Jolla-CA-92037/124865919_zpid/
House for rent,4,3,"2,519","$25,000",,,6933 Neptune Pl, La Jolla, CA,32831622,-117280634,16849828,2019-01-20,https://www.zillow.com/homedetails/6933-Neptune-Pl-La-Jolla-CA-92037/16849828_zpid/
House for rent,5,3.5,"4,067","$25,000",,,8230 Prestwick Dr, La Jolla, CA,32855877,-117247587,16838858,2019-01-20,https://www.zillow.com/homedetails/8230-Prestwick-Dr-La-Jolla-CA-92037/16838858_zpid/
House for rent,5,4.5,"4,280","$26,975",,,1538 Vista Claridad, La Jolla, CA,32817774,-117256727,16857708,2019-01-20,https://www.zillow.com/homedetails/1538-Vista-Claridad-La-Jolla-CA-92037/16857708_zpid/
House for rent,3,2,"1,281","$28,000",,,324 Belvedere St, La Jolla, CA,32833081,-117279924,16849739,2019-01-20,https://www.zillow.com/homedetails/324-Belvedere-St-La-Jolla-CA-92037/16849739_zpid/
House for rent,4,3,"2,400","$28,000",,,1151 Via Angelina, La Jolla, CA,32828985,-117269017,16851023,2019-01-20,https://www.zillow.com/homedetails/1151-Via-Angelina-La-Jolla-CA-92037/16851023_zpid/
House for rent,4,7,"11,196","$35,000",,,5806 Bucknell Ave, La Jolla, CA,32820965,-117253399,16856620,2019-01-20,https://www.zillow.com/homedetails/5806-Bucknell-Ave-La-Jolla-CA-92037/16856620_zpid/
House for rent,4,5,"3,500","$35,000",,,2264 Paseo Dorado, La Jolla, CA,32852784,-117252707,16839058,2019-01-20,https://www.zillow.com/homedetails/2264-Paseo-Dorado-La-Jolla-CA-92037/16839058_zpid/
House for rent,5,4.5,"6,000","$45,000",,,7350 Brodiaea Way, La Jolla, CA,32841726,-117260127,16851505,2019-01-20,https://www.zillow.com/homedetails/7350-Brodiaea-Way-La-Jolla-CA-92037/16851505_zpid/
House for rent,6,5,"4,408","$48,000",,,8425 La Jolla Scenic Dr N, La Jolla, CA,32859902,-117239437,16840145,2019-01-20,https://www.zillow.com/homedetails/8425-La-Jolla-Scenic-Dr-N-La-Jolla-CA-92037/16840145_zpid/
House for rent,4,5,"6,580","$49,000",,,2605 Calle Del Oro, La Jolla, CA,32854427,-117248526,79570521,2019-01-20,https://www.zillow.com/homedetails/2605-Calle-Del-Oro-La-Jolla-CA-92037/79570521_zpid/
House for rent,5,4.5,"4,200","$65,000",,,2273 Calle Tiara, La Jolla, CA,32824185,-117245216,16857786,2019-01-20,https://www.zillow.com/homedetails/2273-Calle-Tiara-La-Jolla-CA-92037/16857786_zpid/
House for rent,6,6.5,"5,800","$68,000",,,5916 Via Zurita, La Jolla, CA,32821891,-117250401,16857928,2019-01-20,https://www.zillow.com/homedetails/5916-Via-Zurita-La-Jolla-CA-92037/16857928_zpid/
House for rent,4,4.5,"3,437","$80,000",,,6672 Avenida Andorra, La Jolla, CA,32833041,-117253734,16851959,2019-01-20,https://www.zillow.com/homedetails/6672-Avenida-Andorra-La-Jolla-CA-92037/16851959_zpid/
For Rent,0,,,"$1,495+",,,7529 Herschel Ave, La Jolla, CA,32841371,-117271245,32.841371--117.271245,2019-01-20,"https://www.zillow.com/b/7529-Herschel-Ave-La-Jolla-CA/32.841371,-117.271245_ll/"
For Rent,1,,,"$1,850+",,,3116 Via Alicante, La Jolla, CA,32862749,-117234888,32.862749--117.234888,2019-01-20,"https://www.zillow.com/b/3116-Via-Alicante-LA-JOLLA-CA/32.862749,-117.234888_ll/"
Apartment for rent,2,2,"1,017","$2,495",,,8420 Via Mallorca UNIT 201, La Jolla, CA,32860574,-117234780,63789906,2019-01-20,https://www.zillow.com/homedetails/8420-Via-Mallorca-UNIT-201-La-Jolla-CA-92037/63789906_zpid/
Condo for rent,2,2,927,"$10,000",,,457 Coast Blvd UNIT 303, La Jolla, CA,32843201,-117280089,16848295,2019-01-20,https://www.zillow.com/homedetails/457-Coast-Blvd-UNIT-303-La-Jolla-CA-92037/16848295_zpid/
